"region","FENS_FORUM_Prepan","FENS_FORUM_Postpan"
"Germany",1933,500
"UK",684,800
"USA",479,276
"France",445,288
"Spain",411,261
"Italy",378,215
"Switzerland",307,258
"Japan",195,156
"Netherlands",192,106
"Hungary",154,109
"Portugal",143,81
"Russia",141,57
"Poland",121,93
"Austria",118,64
"Australia",108,55
"Israel",102,59
"Belgium",98,71
"South Korea",97,68
"Canada",96,73
"Finland",93,70
"Sweden",90,50
"Brazil",86,62
"Norway",79,58
"Turkey",76,27
"Taiwan",70,24
"China",65,32
"Czech Republic",53,25
"Ireland",52,56
"Denmark",46,34
"Chile",44,24
"Greece",44,41
"Mexico",30,23
"Slovakia",29,12
"Argentina",25,49
"Croatia",23,21
"Serbia",23,12
"India",22,54
"Romania",21,14
"Iran",19,14
"New Zealand",17,13
"Ukraine",17,11
"Singapore",13,8
"Saudi Arabia",11,8
"Thailand",8,2
"United Arab Emirates",8,9
"Georgia",7,3
"Estonia",6,4
"Morocco",6,5
"Puerto Rico",5,NA
"Lithuania",4,11
"Luxembourg",4,2
"Slovenia",4,NA
"Egypt",3,13
"Nigeria",3,58
"Armenia",2,4
"Belarus",2,1
"Bulgaria",2,4
"Colombia",2,5
"Cyprus",2,NA
"Iceland",2,2
"Malaysia",2,4
"Malta",2,4
"South Africa",2,17
"Uruguay",2,3
"Albania",1,5
"Algeria",1,NA
"Cameroon",1,NA
"Ghana",1,1
"Grenada",1,NA
"Indonesia",1,4
"Iraq",1,1
"Kuwait",1,NA
"Aruba",1,NA
"Tunisia",1,NA
"Sudan",NA,6
"Sri Lanka",NA,5
"Peru",NA,4
"Bangladesh",NA,2
"Ethiopia",NA,2
"Nepal",NA,2
"Pakistan",NA,2
"Bosnia and Herzegovina",NA,1
"Burkina Faso",NA,1
"Republic of Congo",NA,1
"El Salvador",NA,1
"Guyana",NA,1
"Jordan",NA,1
"Kenya",NA,1
"Latvia",NA,1
"Lebanon",NA,1
"Mongolia",NA,1
"Philippines",NA,1
"Rwanda",NA,1
"Senegal",NA,1
"Tanzania",NA,1
"Vietnam",NA,1
