Region;2018;2019;
Australia;2;1;
Austria;3;9;
Belgium;0;2;
Brazil;3;4;
Canada;1;4;
China;1;0;
Czech Republic;2;1;
Denmark;2;1;
Finland;0;3;
France;20;12;
Georgia;0;1;
Germany;335;259;
Greece;1;0;
Hungary;1;1;
Iran;0;4;
Ireland;0;1;
Israel;7;6;
Italy;7;11;
Japan;1;1;
Netherlands;4;22;
Norway;4;14;
Poland;2;0;
Portugal;1;10;
Russia;2;6;
Singapore;0;2;
South Africa;1;0;
South Korea;1;0;
Spain;3;8;
Sweden;1;2;
Switzerland;16;38;
Turkey;0;2;
United Kingdom;36;62;
Uruguay;1;0;
United States of America;48;131;
Vietnam;0;2;
