COUNTRY;DELEGATES.2018;DELEGATES.2019;DELEGATES.2020;DELEGATES.2021
Argentina;0;0;1;10
Australia;1;4;1;25
Austria;2;4;2;19
Belgium;0;7;0;22
Brazil;0;1;0;12
Canada;12;19;17;94
Chile;0;1;0;3
China;6;11;2;35
Columbia;0;0;0;2
Costa Rica;0;0;0;1
Croatia;0;0;0;1
Czech Republic;0;2;0;7
Denmark;0;0;0;8
Ecuador;0;0;0;1
Egypt;0;0;0;5
Estonia;0;0;0;1
Finland;0;3;0;4
France;4;37;8;106
Germany;29;84;49;132
Greece;0;1;0;11
Hong Kong;0;0;0;21
Hungary;3;8;3;19
India;0;4;4;76
Indonesia;0;0;0;1
Iran;0;0;0;10
Ireland;0;1;0;4
Israel;18;27;22;61
Italy;5;15;2;55
Japan;13;19;12;74
South Korea;12;6;5;64
Lebanon;0;0;0;2
Luxembourg;0;0;0;1
Mexico;1;0;0;15
Morocco;0;0;0;1
Netherlands;4;10;3;37
Nigeria;0;0;0;1
Peru;0;0;0;2
Norway;1;7;10;9
Poland;1;1;0;1
Portugal;10;63;6;53
Puerto Rico;0;0;0;2
Romania;0;0;0;5
Russia;0;0;0;5
Saudi Arabia;0;0;0;1
Serbia;0;0;0;1
